输入,预期输出,实际输出,是否错误
11319789 林克妈妈私家少儿英语教材系列五：小学生日常对话英语听力·林克妈妈的听力直 通车，一共有14页是破的,1,1,
1178187971? 这个订单使用邮局10天了 货到了邮局就是不通知 我去取货可是他妈的3点钟就下班了?? 后来我就退货了,1,1,
1180149971  他mm的这不是扯淡吗,1,1,
1181592500-38431009:34:21抱歉顶屁用,1,1,
1181962849太垃圾了,1,1,
118366869 打算尼玛什么时候给我解决完成老子没时间一直等你们这些傻x,1,1,
118366869  打算尼玛什么时候给我解决完成老子没时间一直等你们这些傻x,1,1,
1185164875  这个订单，是从卖假货的 竞合永道 发出的,1,1,
118613889，13年4月份买的，今年二月初壶盖断了，寄回去维修却被拒收，质保一年，你们京东欺骗消费者吗？,1,1,
118613889，13年4月份买的，今年二月初壶盖断了，寄回去维修却被拒收，质保一年，你们京东欺骗消费者吗？ 2.23早上9：51接到客服电话，说是人为导致壶盖断裂。我有病呀，故意把它弄坏，你们京东说话越来越不负责任了。今天早上收到水壶了，可是更坏了，我寄过来的时候包的好好的，你们寄回来却只用了一个口袋给包着，导致我的壶底全部破损，已经无法使用，原本只是壶盖断裂，还能烧水，现在是面目全非，你们必须得赔偿我这个损失。1、你们售后处理问题的效率太低了，我寄过来的水壶你们拒收了却不给我打电话，还是快递隔了好多天给我打的，说对方拒收。2、是你们审核通过了我才快递的，那证明你们有处理这个问题的能力才会审核通过，就算你们京东不能维修，也可以联系美的售后，让他们帮忙处理这个维修。结果还是我打美的的电话，他们告诉我说嘉定的维,1,1,
118613889，13年4月份买的，今年二月初壶盖断了，寄回去维修却被拒收，质保一年，你们京东欺骗消费者吗？ 提交时间：2014-02-20 13:48:002.23早上9：51接到客服电话，说是人为导致壶盖断裂。我有病呀，故意把它弄坏，你们京东说话越来越不负责任了。今天早上收到水壶了，可是更坏了，我寄过来的时候包的好好的，你们寄回来却只用了一个口袋给包着，导致我的壶底全部破损，已经无法使用，原本只是壶盖断裂，还能烧水，现在是面目全非，你们必须得赔偿我这个损失。1、你们售后处理问题的效率太低了，我寄过来的水壶你们拒收了却不给我打电话，还是快递隔了好多天给我打的，说对方拒收。2、是你们审核通过了我才快递的，那证明你们有处理这个问题的能力才会审核通过，就算你们京东不能维修，也可以联系美的售后，让他们帮忙处理这个维,1,1,
1188394695 商品1028040  ，什么时候把老子的，京券给我,1,1,
1188394695 商品1028040 ，什么时候把老子的，京券给我,1,1,
1189327365?两次发错货，反应后商家也不理，真垃圾，怎么现在京东的商家这样，！！！！,1,1,
1189546457? 1160988225? 919213720我上个星期投诉这3个商品的发票问题，到现在还是没有得到任何回复@！你们高级客服吃屎的吗？,1,1,
"1190555553 , 1190491886 这两个订单,售后上门收了我390.说挂件原装的,见鬼了才是原装的,回访电话打了就没有候温都是忽悠人的了",1,1,
119133826 尼玛这货还现在修的怎么样了,1,1,
1193267214  这个定单的发票到底他妈的是个什么情况,1,1,
1193287438 订单第三方不发货，客服忽悠人说号被盗又打电话说没货要私了，找了京东的客服处理了很多天，3785还是没给我解决问题，又要转到高级客服。。你们处理个事这么没时效吗？只会拖时间吗，难到也要学习凡客了？,1,1,
1194702648.干 ！你们售后没效率，我今天一定要退款。检测一周，检你妹的。 送到售后就用了一周了。??。!!!!!!!!!!!!我今天就是无聊，不达目的，不罢休,1,1,
1194702648.干 ！你们售后没效率，我今天一定要退款。检测一周，检你妹的。 送到售后就用了一周了。??。!!!!!!!!!!!!我今天就是无聊，不达目的，不罢休。找专员。,1,1,
119515164单号，气死我,1,1,
119609727?自己给老子去查！,1,1,
1196372115  为什么挂我电话？为什么拦截价保？为什么谎话欺骗忽悠？为什么经理不解释破专员忽悠不解释？？？？,1,1,
1196400891-404869\10:28:59 京东客服\10:20:04 你好 撒谎你放屁,1,1,
1197812855 你们准备拖到什么时候，我说24小时你们还真以为我忽悠你们？,1,1,
1198562158  京东大骗子  说话不算话！欺诈消费者  答应好的补偿不承认！超级大恶心！！！！！差评到处理为止！！！！,1,1,
1198738243?查查查 操你妈的,1,1,
1198987232  这个订单  我准备付款的   今天 比 昨天 涨了300块  过了这个时间 我找谁去啊  太坑了,1,1,
1199732295 这个单子也太忽悠人了吧！,1,1,
119984174 怎么就审核不通过？就因为我没接到电话？你们不会换个时间再打一个？！非得要浪费我的时间？这算什么狗屁服务！,1,1,
1199864972 这个订单的洗发露 我刚买两天就掉价到29元！ 这也太坑了吧,1,1,
1199买多少避孕套给尼玛，,1,1,
1199元给你们总裁刘强东买避孕套吧，草奶茶妹，,1,1,
11你妈的比啊,1,1,
11号下的单 你们在做什么 ?我操,1,1,
11号下的单，到今天还会送不到，影响参加活动。这也太坑了吧。想想怎么样补偿损失吧。,1,1,
11号下的单呀，你们超时也超了，还影响我晒单返618京券。那我还参加你们的活动有毛用呀。,1,1,
11号到现在就一次一次的欺骗客户,1,1,
11号到货 发给我一周 加上我等的2天 20天了 美女 换谁谁不恶心 我付款的时候都显示的有货,1,1,
11号已经让我很生气了，现在给我来了个13号，你们想气死人是不是,1,1,
11号是母亲节，是送给妈妈的，不想到时候出现售后情况，,1,1,
11号的时候是客服9107给我保证24小时内给我电话回复的，到现在连个屁都没,1,1,
11号送到！妈的今天都12号了！,1,1,
11天了 ?京东都是忽悠啊 ? ? ?都是说在维修途中,1,1,
11天了 ?第三次转什么狗屁专员了,1,1,
11天了还等 等你吗b，天天草你妈b,1,1,
11、客服5471来电，柳先生，不好也是，快递在中途弄坏了，现在没办法给您商品了；   请京东的相关部门、领导妥善的处理此恶性事件！！！你们的培训是专门培训客服人员忽悠办事的么，电话录音的内容里面有几句告诉客户的是真实的情况，你们的售后就是这个样子，左一个交接失误，右一个交接失误，每天接电话都是干什么吃的。此事件为什么拖延近2个月，为什么没有部门或者领导主动来负责，为什么承诺的东西，一而再再而三的反悔，是不是自己都觉得忍不住想笑？为什么交接总是会出错，京东的管理是不是有问题？相关人员是不是在承担责任，你们的考核是如何进行的，kpi指标是怎么定义的，我重申我一定要我的商品，还有你们的道歉，相关人员处罚的结果，否则一定陪着战斗到底，投诉到底！,1,1,
11点下单隔天3点之前欺骗消费者！,1,1,
11点之前付不到有毛用,1,1,
11点之前订单发货扯淡吧？,1,1,
11点你妹京东就收货了.现在还没有处理结果,1,1,
"11点前当日到,这不是忽悠我吗",1,1,
11点后才改忽悠忽悠顾客吗,1,1,
11点的那个客服我要投诉他 ，妈的 什么玩意 拿钱不办事的家伙,1,1,
11选5傻逼,1,1,
1200957423第三方卖家漏发东西，卧槽，怎么办,1,1,
1201258677? ? 我昨天签收的 ? 假货吧,1,1,
1201557197商品，三星官网卖1298元，你们卖1099元，该不是假货吧,1,1,
