输入,预期输出,实际输出,结果
"0081她妈的
0083客服说了处理了 会退款给我 你自己去查吧 其他我不管 不然就是欺骗我
0088、2487、7738、33522这些客服（其他的还有几个我忘记他们的工号了）都如您一样当时很有诚意的承诺会在什么什么时间给我电话，但都没有，而且您们被处罚与否与我有何关系，还正我被您们忽悠浪费了许多时间与
0.0 太坑了吧 1元存不了
01012315占线，我要投诉你们，垃圾
010-12315我刚才问的，你们在这还开了一个京东绿色通道，都他妈的开到12315了
014-03-11 10:47:44 这话是什么意思呢 ，忽悠我吗？您的订单预计3月12日送达您手中
014-06-03 13:48:05你下单不备注车型吗？   caohonglin0002014-06-03 13:48:39我 备注了 你们销售员 还给我打电话确认了号码caohonglin0002014-06-03 13:48:45你丫的客服 怎么办事的   caohonglin0002014-06-03 13:48:49这点事 办不了嘛 jd_beisitesop2014-06-03 13:48:58下单备注好了，不会这样 的  caohonglin0002014-06-03 13:49:20你们客服 给我打电话 难道是找我聊天吗caohonglin0002014-06-03 13:49:23他妈有病吧
014/6/25?10:19:20这个公司规定的，我也没有办法?lily?liu?2014/6/25?10:19:25真的很抱歉lily?liu?2014/6/25?10:20:07下次您买东西最好留您自己的电话，老人一是听不见电话，二是语言不通，留您的电话您再联系老人收货是一样的，这个只是建议哈?锦上添花?2014/6/25?10:20:29去你妈，你们公司穷疯了，你妈的不给清单老子给你退回去。差评让你王八蛋关门大吉。lily?liu?2014/6/25?10:20:50您现在骂人也对事情没有帮助哦
020-38731788他们这个总部客服电话很垃圾
-02-18 14:01:06 \\我的留言：\可是收到没有使用说明书和保修卡。有刻划硬伤，拍卖品也没说明，影响使用啊。难道这不是欺骗和隐瞒不实吗？你们夺宝岛24小时不付款就扣2000京豆，不影响你们二次拍卖，为什么还扣20元或2000京豆？你们讲理吗？还是要求补偿2000京豆。因为你们在一年中扣了我相当100元人民币的积分或京豆，那些我拍卖过的东西，你们又都卖了。 \\提交时间：\2014-02-18 15:36:09\客服回复：\您好，拍卖时已说明是商品外观良好，非全新商品，此情况会可能存在商品外观划
02-27 08:06:04快件到达便利店 :武汉市顺丰......3月2日我与顺丰联系了，告知我方电话关机。。。胡说八道！
023，艹尼玛，这个订单谁给我取消的？草你妈  1168750023，艹尼玛，这个订单谁给我取消的？草你妈  1168750023，艹尼玛，这个订单谁给我取消的？草你妈
02592s00100015025，等待退往厦门售后组要那么久吗，是用飞机送吗？？？ 请赶快给退款。提交时间：2014-06-19 10:50:59我的留言：请赶快给退货退款。提交时间：2014-06-19 10:56:45我的留言：东西还在厦门时你们不处理。搞到现在东西不知道在什么地方。你们做事情好垃圾啊 有请赶快给退货退款。 提交时间：2014-06-19 11:30:39我的留言：东西收走不处理，请赶快给退货退款。 提交时间：2014-06-19 11:47:39我的留言：我的东西是没有超过7天的，问题描述兼容性不好，是你们同事写的     提交时间：2014-06-19 12:57:11我的留言：请赶快办理给退款提交时间：2014-06-19 13:01:35我的留言：东西收走不处理，请赶快给退款。提交
02865189038，让他打电话吧，我没空跟你废话！
0290是煞笔啊
0335号，投诉京东170卡欺骗。
0513不要忽悠我啊！要留言明天让送来
052788105500在昨天下午致电我，人不在，未接！052788120510又在今天早上9:41分和9:42分时二次致电我，人不在，又未接！这货，究竟是谁？为什么每次都挑我不在的时候给我来电呢？马上查出这货是谁？052788120510 江苏宿迁052788105500 江苏宿迁这二个都是从宿迁打来的！现在给你这货8分钟，马上给我查出这货是谁？废话少说！
0527-8810 5500 打过来的电话，说着说着就给老子把电话挂了
0527? 88105500 这个号码是你们京东的吧?? 我草? 前天告诉我昨天会送到我手上??? 妈的? 昨天又打电话告诉我 今天送?? 到现在也没来? 死了? 是不是啊
0527-88105500这个电话打来还很恶劣说尽快发货就是了，就挂我的电话，有病吧
052788120510这个垃圾高级客服解决不了问题
052788120510 这个电话打给我的客服又在坑人。妈的！
0563好像是她，就一二逼
0594这个是你们京东自己的电话。。你们的客服都是吃屎的吗
0716号，你跟3733号说，她是个傻逼！
0734号解决不了的问题说给我转高级客服，操他奶奶的
07563320360--你们京东珠海香洲站的站长很牛逼---货物清点不清楚，客户问题处理不了，态度还牛逼的跟他妈是奶牛一样，----我提出来先送一箱我先用本着大家解决问题的目的--他妈的成天跟老子将规定
07563320360珠海香洲站  那个傻逼站长
0765  你他妈的今天不解决明白你等着投诉凹
0767，你要解决不了，我也不跟你废话了
0788有个毛用。。
0792号客服你丫是傻逼吗？！逗比啊你?跟谁闹呢？不会服务就滚蛋！头一次遇到你这种脑残客服！！！
0797号客服，我想操你妈妈行吗
0805，我前面的话，全都是放屁吗？
0825-2280920       给我父母打电话的     尼玛的   留的我爸的电话，
0832你能不废话吗
0841你个傻逼
0841傻逼
0871-68585961。这是生产熊猫望远镜的云南光学仪器厂的电话。对方答复说，熊猫不可能出现16x25这样的倍率。因此说，京东上出售的假货，仿品。
:08自己去看吧   京东客服11:33:32已经查询到了 angus890811:33:41什么时候到账   京东客服11:33:43目前您的单子已经有我们投诉专员在跟进处理了 京东客服11:33:53请您手机畅通耐心等待会核实之后联系您处理的 angus890811:33:54跟进多久了 一个回复都没有 angus890811:34:11我要等多久？ 等到倒闭？ 京东客服11:35:38不会等到倒闭的 京东客服11:35:42今天会联系您的 angus890811:36:13你确定？ 京东客服11:36:20是的 angus890811:37:38如果没有电话你是不是辞职啊 京东客服11:38:35是的 京东客服11:38:42而且我们投诉专员这边已经答应今天回复您的 angus890811:42:18几点
09:14:46 气死我了.4天了还在路上
09:18:06 当第二次申请换货时，我是看到你们东京显示叫退回手机的我把手机寄出，叫我自己叫快递先付款到时再把运费返还给我，，我花了10元的运费但货到后竟然拒收退回，并要求把手机改为维修，不给予更换这样不是欺骗顾客吗？
09 23:03 回复 ◆◆ 回复 雷神好基友：回复 3 雷神好基友 ： 不可能的，给左护法邮箱写信，有点必换。 2014-06-09 22:55 回复 ◆◆ 回复 雷神好基友：回复 2 jd_159067zyh ： 京东太坑了，还说完美屏，结果屏幕有坏点不给换货
09:42:55货款我是9号就支付了。商家一直不发货，欺骗客户，提供发货号，我昨天给快递打电话，快递说商家根本没有发货
09年产的 ? 3年的保质期 你们这是欺骗我们消费者吗
0kkjvy电脑端登陆不上，懂没，你们京东系统问题，他妈的草
0个京豆、一会又回复补偿2000个京豆，2014年6月18日9时19分，一先生自称是京东商城专员，使用052788120510电话号码与本客户联系，告知京东商城给予本客户5000个京豆补偿，相当于50元钱。因京东商城故意拖延、分三次发货，已给本客户造成重大经济损失，京东商城在线客服工作人员、专员竟还以10元、20元、50元作为京东商城的补偿与本客户协商，京东商城究竟想干什么？京东商城还在继续敷衍、愚弄本客户吗？本客户对京东商城敷衍、愚弄客户的恶劣行径表示强烈谴责！！！本客户强烈要求京东商城对本客户予以赔偿！强烈要求刘强东董事长亲自办理对本客户赔偿事宜！
0京卷，但要等收到了货签收后才给，但不知道什么时候才能送jmissu131415:50:21此人工号36468，态度恶劣，说话不懂的尊重人，绕圈子，和他的童话让我很不愉快jmissu131415:50:56我本来打算那么好好解决，我就不去工信部备案了，现在倒好，怎么耍我京东客服15:50:59确实非常抱歉 给您添麻烦了jmissu131415:51:11还振振有词了jmissu131415:51:23京东真他妈垃圾jmissu131415:51:45我会投诉到底的jmissu131415:52:03也别是这个工号36468的jmissu131415:52:22特别是这个工号36468的京东客服15:52:29哎 非常抱歉 给您添麻烦了京东客服15:52:44我们会努力改进的jmissu131415:53:12你
0元发票请帮我发邮政，这次发天天，气死我了。
0元申请个屁啊！！！！！！！！
0如果今天晚上 ?没有中奖 ?这事你批评一下就算了 ? ?如果中奖了 ? 马上让他滚蛋
0)有用(0)                                                              ◆◆                                                                          回复  东方红你妹啊 ：回复
0点就内部处理完，然后写个10点开领，弄2个一样的链接忽悠我们
0这个不是忽悠客户么
0那你就是没做到位啊lmrkr0ymv13:40:47又不是我让你这样的lmrkr0ymv13:40:59我让你额外申请1000京豆 你也不肯申请lmrkr0ymv13:41:06那谁来体谅我呢京东客服京东客服13:41:10您好，小妹这边一定改正的哦京东客服京东客服13:41:53您好，这个小妹这边申请后是需要审核的，使用没有原因这边是没有办法申请的 哦lmrkr0ymv13:43:32原因什么你自己最清楚了啊lmrkr0ymv13:43:43非得要我投诉 那我也没办法了lmrkr0ymv13:43:51还浪费我时间 忽悠我京东客服京东客服13:44:29您好实在抱歉lmrkr0ymv13:48:05那再见 我也不想浪费我时间了 既然你连升级投诉自己的问题也不肯，那根本就谈不上你要改进，谢谢京东客服京东客服1
10000破豆不能少,老子明天再请一天假,为的就是打快递员,这种sb不被打就不会做事.
1000x豆 也难以抚平我这被你们忽悠的心...
1000，不要再说，气死我了
1000个京东豆呢，被你们忽悠死了都
1000个京豆值不了几个钱。最多就是忽悠忽悠小朋友。
1000个京豆跟你妈妈的一片苦心，你决定吧
1000个豆，10块钱呢。现在北京正在开两会，你们要是店大欺客，哥要去找刘强东，要去上访。
1000个豆 少一个我就去投诉你们欺骗消耗者 我也不跟你多语
1000也太忽悠了
1000京东有毛用啊
1000京豆够你妈个比
1000京豆，尼玛才10块钱，打发小孩呢亲
1000京豆 ?我还亏1000 ?你当我傻子！
1000京豆 没到 老子投诉你
1000京豆算个屁
1000京豆给你妈卖逼去吧
1000京豆能干毛用
1000京豆这个是你们客服的权限，马上申请了就是了何必这么多废话呢
1000京豆 那有屁用，我要现金
1000京豆 顶个屁
1000你去死吧
1000？你当我要饭的啊？麻痹的
1000元用20元来忽悠我？
1000吃屎
1000块钱买了个垃圾，你们真不应该让七喜入驻
1000多 买个垃圾、
1000 多元打水漂了 你妹
1000多元钱的鞋穿一天就掉线老子真是遇到了，找的什么假冒伪劣商家 ，不给我处理好老子315天天投诉你
1000够你妈个比
1000 ...忽悠小孩子、
10:00我就一直用手机端和电脑一直刷新，都显示无货，你们有这样欺骗我们消费者的吗？
1000有屁用。我买了这么多京东都不只至
1000的订单 你们默认不开发票 我只好取消订单 重新下单 可是妈的不给我返券
1000豆子就忽悠我等1个月？
1000豆很多吗？ 忽悠我呀？
1000豆考虑个屁啊，又不是没见过1000豆。我给你1000豆，你让他发货好不
1000豆豆妈的搞半天
1000金豆就忽悠我到现在吗
10:04:49放屁！你看看豪华版套餐，看看库里有没有货在说话好不？！买套餐就有货，买标配的就没货？有货不给消费者发呗！
10.08抢购手机，我进去了，下订单时却卡在那了，你们的服务器太垃圾了
1009579970脐橙，货没有收到，但是订单显示此单完成，1009521984石榴显示退款，但是是全烂的，根本就是垃圾
100g/个，尼玛的捡着里面最大的5个也没1斤
100个京豆不才1远吗我不在乎的但是你们这种价格游戏啊欺骗用户是很不道德的
100京券也太能忽悠了吧
100京逗=1块钱是吗？妈的，
%100假货
100元京券打发要饭的，就免谈了吧，找刘强东或者奶茶妹来也行
100元现在就给我不要废话了也不要联系了
100分钟处理，就是个欺骗人的规定
100分钟时放屁吗
100分钟服务是写出来忽悠人的吧？？？？？？？
100加 跟京东 霸王条款 ?欺骗消费者
100变30，尼玛谁会同意啊
100块钱可以每天来骂骂臭婊子还是值得的，哈哈
100%就奶粉有问题 ? ?我又不闹事 ? ?娃儿的医疗费都自己认了 ? 只是退个货 ?还让我找这找那的 ? ? ?废话不多说
100%是假货
100是因为你们没有及时处理给老子的补偿你们的那个客服昨天的电话也不敢给老子打了你还他妈的胡说八道什么
100%的垃圾
100+的手机，就是垃圾的代名词！
100算个屁
100经卷是本来就有的好吗。你们这样浪费我的时间，忽悠我就20经卷的赔偿？
100老子也不要了你们收回去我的成长值你们给我补上别的废话我们也不要说了
100账户余额到帐了可是到现在6个小时了老子还没看到
100金豆什么狗屁啊，才1块钱。，打发叫花子哦
10:12:36 昨天还扣我京东豆500，理由竟然是我拒收货品，狗日的刘强东，那么多钱还做这种事情来
10:13:52 我要付款找不到，你这个鸡巴是怎么回事？搞了另外一个买酒的单。----你有没有神经病？
1014048821此订单购买的电动独轮车，涉嫌欺骗性宣传
101410996-93029922:56:04特么的 老子买这个手机一个月多几天就出问题了！ ?然后向你们反馈！后来叫我申请维修！中间问题百出！妈蛋蛋 ? 好不容易那过去修了！修了一个月给我拆机一看 装上去卡 发现原来手机震动的原因没有了，特么的修的我的手机不能打电话接电话了！压根没声音！然后叫我回去再申请！特么的三月底四月初买的手机！五月提出反馈！ ?一直整到现在 ?你特么还在、跟老子周旋 ? 特么要不要给我搞定事情了？骂了隔壁的
1014357670我让那客服给我取消这个锁定的订单，这傻逼客服给我取消了我付款的订单，呵呵
1014407998我刚买没几天，就降价啦，太坑爹了
1015021856 查一下这个订单  1.25号发货 昨天刚刚收到了，里面发的一部分垃圾纸，好多坏的，等于在路上20天。是不是快递公司把包装换了，里面放的是碎纸机的垃圾纸
1019234623    我操  这个订单都完成小20天了  还是等待收获呢怎么 我后天就上学了
101928346-90501022:22:46换货开始才可以 好 ?那你这计时还有12天 就默认我取消服务单了对吧?那你们就不用换货了对么？是这样欺骗消费者么
1021810-20081374\13:33:03 你们京东送来一个冰箱是 烂冰箱 还倒逼客户搬冰箱去检测，真他妈有病
1024536544 这个正好是商品信息描述的单层，而我拍的是1023955989 这个，这个可是三层的，收到的实物就是单层的，tmd欺诈
1024981280哎呀 我的神那 麻痹你们到底送不送啊？都多久了啊 还没到么 ?我艹
1025729编号有货，就是不能拍，有点忽悠感觉
1031578879? 这个欧莱雅男士 ?就是假货
1032130750   我说你们有没有搞错  说好的查了给我回电话 回到哪去了 又耍我呢是吧？？？ 垃圾京东~
1032199937 订单啥时能解决，拒收垃圾的邮政ems
1032339306  几天了 干鸡巴那
1032884867  我这个尿不湿收到就是烂的 还不给我换货 你们太坑人了
1032真妈的
1036215255?我已经 申请退货了，然后投诉这个卖家如此垃圾的商品
1039723209号订单，送货时间定格在了2月10号，到底还能不能行呀，复兴路到万寿路我走路一天都能往返无数趟，怎么就送不过来了还，气死我了
1041791604申请价保。不要告诉我退货再拍。这是多此一举。忽悠
1043429437?这个件要我操作取消订单吗
1047550593 ? ? ? ?这个订单 我操作换新了 ?怎么看不到新订单呢
，1048346559 ? ?10天了 还不到货， 往常 4-5天能到的，客服天天打哈哈，忽悠我，昨天说一两天能到，今天说两三天到，我现在不知道如何起诉你。。。刘强东，你不作为，1048346559 ? ?10天了 还不到货， 往常 4-5天能到的，客服天天打哈哈，忽悠我，昨天说一两天能到，今天说两三天到，我现在不知道如何起诉你。。。刘强东，你不作为，1048346559 ? ?10天了 还不到货， 往常 4-5天能到的，客服天天打哈哈，忽悠我，昨天说一两天能到，今天说两三天到，我现在不知道如何起诉你。。。刘强东，你不作为，1048346559 ? ?10天了 还不到货， 往常 4-5天能到的，客服天天打哈哈，忽悠我，昨天说一两天能到，今天说两三天到，我现在不知道如何起诉你。。。刘强东，你不作为，1048346
1048346559，?2月19日前送达您手中，要是没到的话 你们是不是属于欺骗
1049510307\s3s led吸顶灯现代简约卧室吸顶灯阳台灯走廊灯过道灯书房饭厅餐厅厨房灯具厨卫灯圆形灯饰 纯白6w-限购10\￥55.00\0 15\放入购物车 关于向国家工商行政管理局投诉网络经营诈骗的事实，在京东商城网购，商家 s3s led旗舰店 采取欺骗手段，将商品订价16，5元吸顶灯以十个为优惠，并未在网络上公示，超过十个是什么价格告诉买方，我们订购十五个灯，他们以诈骗手段加价三倍以上，十五个灯全部变幻成55元/个？以上网络证据全部公证取证，并报广东工商局和公安局，广东网络诈骗中心！
1049569776-962789\2014-04-06 09:56:24?放你妈屁
1063090564 这个订单是有我们的高级客服与您联系过说建议取消 赠送30%京豆 给您的；这个是京东的欺骗，不妥协
1069013355500? 这个订单我昨天提交的? 说是今天11号送到我家，今天上午我问说下午三点到，我干等，但是中午我突然收到个短信说丢单了，我退款重新买，你们也不给退款，我也不想骂人了，你们班的是人事吗？
106元京券是老子自己的钱
1071489665我想问下 这商家是不是在欺骗买家呢
1077784931??2014-02-13?16:37:53\我要投诉 ? ? ? ?快递比乌龟还慢，明天第八天了呢
1078239815? 这个订单完全是虚假广告下单的时候提示14号到货的，今天早上一看尼玛要等19号送到,19号还要你送来做什么？1077955128 这个订单更无语直接没人处理一直不出库.
1081212641怎么还没有到货！tmd从外星球送到地球也到了
1082081092主机是要换的，你们垃圾京东不给保修的，主机给我寄回来，保修单不用寄？
1082240044，刚收到货，不要这么恶心人行不行，是别人用过的，里面有两个坏的，说明书上沾满脏东西，跟商家联系，还说肯定是新的
1082807627这个单子商家不给我退货，气死我了
1082904925 订单垃圾售后服务
1083900673_m21:51:37给老子。升级。。
1084435615这个订单到现在也不发货，这是个垃圾公司，我要退货
1085992490 是假货吧 浑浊不透明
1086732013 你问问你们那合作的商家，是不是当京东是垃圾处理场，这么难吃的龙眼也来做团购
1088593992投诉,他说我要求额外赔偿。。。呵呵，哪里来的理由，我要求的赔偿可是服务内的赔偿。浪费我7天时间不说，不电话就不办事！书本费退回18.5，我要求20赔偿。因为他的服务态度恶劣我不断的电话催促才给我办理退换货，结果退换货还是错误的，会不会出仓检查！我还没问他要话费和误工费呢！不是我计较这1块5毛钱，这是服务态度问题。他还跟我计较京东运费标准问题，我退货寄了8快他给我退6块钱试试！有这样的卖家么！！还有，今天的退货他们应该也会收到了，让他们尽快退款给我，跟他们卖家这样的客服说话简直是恶心！
1088843955 这个单子 我操作不了退换货
1.08改到8.08又改1.08再改8.08最后又改到1.08你们当我们是傻子？
1093842008? ?这个订单卖家说标错价了要发假货给我
1094819 ? 操你妈 啊
1097994490 新唐书(全二十册) 有货的哦：这个是有货，但这个畜生涨价了，不发货
10京券，欺骗消费者的行为
10% 你们那么多次打来我都没答应的 那天他说百分之30 我才答应的 你们在欺骗我么
10元优惠券也弥补不了我们生气死的那些细胞
10元就想把人忽悠
10元钱对谁来说都是小数字 但我他妈现在1分钱也不想在京东上停留1分钟
10元钱 ?老子不缺那10元钱
10几公里他妈逼3天都送不到的
10几块钱还不够我废话的了三天了，每个客服都骗我转天解决
10几天了，还你妈核实
10几天了都不见人影   操你妈的   玩我啊
10几天了都没处理好，在忽悠我
10几年就碰到过这么一次这么恶心的
10分钟一次彩票 还叫我电话 又是24小时 你忽悠谁
10分钟不说话尼玛又跑路了
10分钟不说话还又给忽悠过去了···
10分钟了你干什么去了死了嘛还他吗的没转过去你就他妈的欺骗老子把
10分钟，你不回复，就又要重新连接，很操蛋，你把握好时间
10分钟内 ?24小时屁用啊
10分钟内不给我来电话? 老子跟你们拼了 看谁先栽
10分钟到账的话是屁话啊
10分钟前明明是 ? 23点前下单 ?26号到 ?这也太坑了吧
10分钟路凭他妈比送不到
10前就接到华为公司的售后服务咨询，今天又打电话过来查询，而我却没有收到货，请问我怎么回答华为，你妹的京东又怎么回答我呢？
10号反映的现在才给我发信息，也真够垃圾的
10号就下单了，你们补货是从11号开始，这他妈都多少号了，轮也轮到我了吧？
10号忽悠到现在，，，还扣钱，，怎么好意思
10号我还买个屁，啥都没了
10号的订单说17号才到！搞什么东西？什么垃圾物流？算起来我6号开始订这货搞到现在重新下单还得再等上一周！还说次日达！我看是在忽悠我们消费者！
10号那天明明有人打了电话过来说确认了，机器的问题，同意换新机，说星期天最迟星期一或者星期二到，然后到了今天还没有寄出去，你竟然还说今天才确认，等等找一大堆狗屁理由，京东一大班神jb的人，终于见识了。
10块？打发乞丐啊？京豆最后还不是还给京东？上次客服帮我申请2000个老子都没要，你真看得起老子啊，***！
10块钱，你逗我玩呢？怎么你们都认为我现在的感受就是10块钱解决的吗？我要的是送货时间，别老是拿10块钱忽悠人好吗？
10块钱就把老子打发了
10块钱有毛用。。。
10塊錢的地攤貨賣給我138元。真tm的讓我失望
10多万台手机至于一次卖完么？下次搞抢购能不这么恶心么
10多天干嘛去死
10天不发货，气死人了
10 天个屁
10天之内不到我手上我他妈的直接打配送元
10天了，亲，感情你们都是忽悠客户的呀
10天了，什么狗屁物流啊
10天了，你们知道吗，他妈的
10天了 ?爬也该爬到了，他妈给老子发西安去
10天了，被人欺骗了10天了
10天了，还在路上，乌龟速度吗
10天了还没有要售后部 ?乌龟的速度吗
10天，，人家新产品都出来了。吴少椿你全家死完了，几分钟的事情给我拖１０天，
10天他妈的不给我修，今天还一直说给我送维修站了，你们这不是扯淡吗？
10天，你们知道吗，他妈的
10天？你扯鸡巴蛋呢
10天内返回，还是没到帐，你们欺骗
10天前我已经催促过商家，到今天，tmd还没从财务那里开出来，是想忽悠？还是想偷税漏税？
10天前老子就在打电话，怎么没人给老子检测
10天啊 ?妈的 liu强东
10+天！！！！！！！！！！！！尼玛
10天左右，这他妈就是京东的活动
10天快了，还没发过来，忽悠人么
10天 我还买个鸡巴啊
10天，扯淡呢
10天都送不到，快递太坑爹了吧
10年后你们倒闭了我找谁
10月后我会让你成为奶妈的
10条回复?-?发帖时间:?2012年2月10日买的商品没问题确实感觉不错,等到买到问题产品的时候,你就会明白京东是有多恶心和无耻 2013-5-29 17:40 回复 和硕公主蓝齐
10来天前投诉了 然后打电话来说20号前会返券。。现在都21了 又忽悠人
10点18分说开始 ?结果 不是提示30秒不能重复更新 就是提示没开始，要么就说没有了，狗屁啊
10点7分给我打电话的时候，我也是跟那个狗娘养的狗杂种这么说的。我可以到金乡自提，那个狗杂种都不肯，非要我取消订单。
10点到11点像个傻子样不停领取？
10点前下的订单 送不到就是你们忽悠我们消费者的哦
10点开始预订一直忽悠到现在
10点开枪到现在不开放，又打算忽悠？
10点抢购 我去了 ?麻痹 页面就跳到联通合约价 抢毛啊？
1107004586 此订单根本就还没有发货 什么弄一样快递单号来忽悠买家呀
1108372992这个订单 我要退货 价格和物品太坑了
1108677540? ?这个我要退货 ? ?太垃圾了
1108806193,太坑人了吧？
110系统都是有人报警他们在用系统通知当地的出警，事情处理玩了就反馈给110指挥中心，这样就不会有这样那样的问题出现，服务也就提高了，买东1的人就多了，最后就是在你们那不要有假货个个地方进行视频监控
1110513178 ??\卧槽 用得着卡在哪里 卡个几天么
1110755132? ?还有这个怎么还不审核啊 这个肯定是假货 ?涂到脸上就跟胶水一样的东西 ?往下掉 你们京东也有假货吗
1111029977 ? ?我这个订单你妈的还没出库呢
111111111 ",1,1.0,正确
1113366445 这件也是 多久了 第三方物流真的是要气死人了,1,1.0,正确
1113565992 的商品我已经到当地12365确认了是假货,1,1.0,正确
1114010186，这件衣服商家让我退货，让我快递过去，我不同意。因为商家断货的原因，找了一件次品发给消费者。而消费者还要花时间收、寄。并且商标和内签根本不同。第一这是商家用低价诱骗客户，第二用假货以次充好。我己申请赔付，并己通知你们高级客服处理。所以商家回复的方式，我不认可。,1,1.0,正确
1115878622      和: 1115904831   这两个订单帮我申请退款下就好了。。这次被你们京东坑了一把。真尼玛伤心。,1,1.0,正确
1115984682请解释。。。。。你他妈的给我解释清楚,1,1.0,正确
11 16:35:24 \\客服回复：\您好，此单发票已通知商家开具，因为部分商家的发票不能开具办公用品等内容，所以您收到发票可能是开具的您购买商品的明细，敬请谅解。\提交时间：\2014-03-11 16:35:53 \\我的留言：\还没收到，继续留言\提交时间：\2014-03-14 19:09:26\\客服回复：\已寄出 韵达，1201220139387 谢谢\提交时间：\2014-03-16 10:59:11 \\我的留言：\能专业点吗，是第三方忽悠你们，还是你们忽悠我？这个单号的快递是从上海寄到海南三亚的，我的收件地址是哪里？\提交时间：\2014-03-16 16:42:48\\客服回复：\您好，真的很抱歉，之前确实是我们没有查询清楚，我现在就为您再次联系商家确认，谢谢您的提醒\提交时间：\2014,1,1.0,正确
11183 是邮政的我问人家有毛用啊 我连运单号都没有,1,1.0,正确
1118559756 ? ?手机什么时候到 他妈的太慢了吧,1,1.0,正确
11185有屁用啊！它是快递员电话吗,1,1.0,正确
11:20:411684402535 服务单号：130091874 第2次换货，还是给2手货，而且比上一个2手更2手。而且你们快递人员不耐烦，说货物送到其他不关他的事，他只不停要求我签名签名！态度不友善，投诉这名工作人员：张颖桃 “2014-07-25 15:01:17 引用你们信息：配送员【张颖桃】已出发，联系电话【15622278774，投诉请拨：020-81075313；亲，收货后请登录京东给个好评哦！谢谢！】”请不要安排这个快递人员来退换我的东西，我害怕他会上门来打我！如果你们再安排他来的话，我继续投诉！ 包装有明显开过的痕迹！ 鼠标脚贴有严重的刮痕，上一个刮痕还没有这个严重！你们老总刘强东说过：“京东如果也出现了假货，那跟天猫淘宝还有什么区别?京东的存在还有什么价值?”理想很丰满，现实很骨感，你们再这,1,1.0,正确
11.22 你们的客服死光了？,1,1.0,正确
1128130737 和1128047868 是同一个商品 取消赠送20元京券/id，这个是卖家欺骗，不妥协,1,1.0,正确
1129117741给我操作一下吧,1,1.0,正确
1-12个工作日，你他妈的看看是不是快24个工作日了,1,1.0,正确
1130863720 ?本人28号买了四张蓝宝石r9 270，单价是1599 ，当时你们的宣传是数量有限，价格不定期上涨，没有想到才过几天，你们就大降250一张，我买了四张，多出了1000元，你们就是这样虚假宣传的么？？还数量有限，不定期涨价？？这就是你们京东一直的待客之道么？就是这样欺骗消费者么？,1,1.0,正确
11:30开始的，现在12:42 我操你妈逼了？,1,1.0,正确
11319789 林克妈妈私家少儿英语教材系列五：小学生日常对话英语听力·林克妈妈的听力直 通车，一共有14页是破的,1,1.0,正确
